Name,Mobile,address,Shift,type,Joined,City,state,rating,reviews,open_now,lat,lng,status,website
"Precious Forever Banquet Hall, Peeragarhi","088825 00400","D, 9, Main Rohtak Rd, Udyog Nagar, Mangolpuri, Delhi, 110041, India","DAY","Third Party","","Delhi","Delhi","4.7","13251","true","28.6810642","77.087339","OPERATIONAL","https://preciousforeverbanquet.com/"
"The Gracious Banquets, Naraina, Delhi","099111 70065","A-25, Block B, Naraina Industrial Area Phase 2, Naraina, Delhi, 110028, India","DAY","Third Party","","Delhi","Delhi","4.7","12361","true","28.6438635","77.14686680000001","OPERATIONAL",""
"CB Crown Banquet","096677 70609","H1A, 25, Sector 63 Rd, H Block, Sector 63, Noida, Uttar Pradesh 201301, India","DAY","Third Party","","Delhi","Delhi","4.9","2084","true","28.6273953","77.3753911","OPERATIONAL","https://www.crownbanquetnoida.com/"
"The Grandeur by Lavanya banquet","072919 15353","A-15, Mahatma Gandhi Rd, Block A, Wazirpur Industrial Area, Ashok Vihar, Delhi, 110052, India","DAY","Third Party","","Delhi","Delhi","4.3","4643","true","28.7001144","77.1599489","OPERATIONAL",""
"Royal Pepper Banquet hall (Tulip): Wazirpur","088825 00400","B-70, Wazirpur Industrial Area Rd, opp. shalimar bagh, Block B, Wazirpur, Ashok Vihar, Delhi, 110052, India","DAY","Third Party","","Delhi","Delhi","4.6","18833","true","28.7047378","77.172251","OPERATIONAL","http://www.royalpepperbanquets.com/wazirpur/"
"Royal Pepper Banquet hall (Krish): Wazirpur","099991 25887","C-94, Ring Rd, Block B, Poorbi Shalimar Bag, Wazirpur, Delhi, 110052, India","DAY","Third Party","","Delhi","Delhi","4.5","13340","true","28.7029749","77.1690587","OPERATIONAL",""
"A1 banquet","078348 73747","A-1, Industrial Area Phase I, Block A, Naraina Industrial Area Phase 1, Naraina, New Delhi, Delhi 110028, India","DAY","Third Party","","Delhi","Delhi","4.6","3982","true","28.6333545","77.13938879999999","OPERATIONAL",""
"The Oreanns Banquet","090589 05847","M45X+478 Main Patel Road, Najafgarh Rd, Block C, Najafgarh Road Industrial Area, New Delhi, Delhi, 110015, India","DAY","Third Party","","Delhi","Delhi","4.1","936","true","28.6579179","77.14841609999999","OPERATIONAL","https://event-planner.co.in/the-oreanns-banquet/"
"Vintage Banquet | Luxury Banquet Hall in Vasundhara, Indirapuram, Ghaziabad","077110 08868","CP-5, Sector 9, Vasundhara, Ghaziabad, Uttar Pradesh 201012, India","DAY","Third Party","","Delhi","Delhi","4.3","612","true","28.660165","77.3697514","OPERATIONAL","http://vintagebanquets.com/"
"Grand Azalea Banquet","072900 21421","36, Rama Rd, Moti Nagar, Block C, Najafgarh Road Industrial Area, New Delhi, Delhi, 110015, India","DAY","Third Party","","Delhi","Delhi","4.3","3128","true","28.6613825","77.15425739999999","OPERATIONAL","http://www.grandazalea.in/"
